X,Y
-5.615910957999999908e+01,-3.491257462000000089e+01
-5.616115760000000279e+01,-3.492517821999999938e+01
-5.615362629999999911e+01,-3.491494108999999924e+01
-5.615629366999999661e+01,-3.491877913999999805e+01
-5.616117575999999900e+01,-3.491412598000000145e+01
-5.616128134000000216e+01,-3.491484402999999759e+01
-5.615813142999999741e+01,-3.491978884000000249e+01
-5.616016857999999701e+01,-3.491787106000000307e+01
-5.616029903999999817e+01,-3.491200019000000054e+01
-5.614667302000000149e+01,-3.491176099999999849e+01
-5.614752106000000254e+01,-3.491126198999999986e+01
-5.615209704000000102e+01,-3.491918179000000322e+01
-5.615218265000000031e+01,-3.491266012999999901e+01
-5.614897823999999815e+01,-3.491085019999999872e+01
-5.615695696000000225e+01,-3.491423805000000158e+01
-5.615811011000000263e+01,-3.491435333999999813e+01
-5.616016649000000172e+01,-3.491434704000000266e+01
-5.614829819999999927e+01,-3.490914838999999859e+01
-5.614598622999999833e+01,-3.491184888000000086e+01
-5.615371198999999791e+01,-3.491831644999999895e+01
-5.614915347000000168e+01,-3.491673826000000247e+01
-5.614880913999999734e+01,-3.491903485000000273e+01
-5.615264945999999924e+01,-3.491536799000000002e+01
-5.615213257999999996e+01,-3.491549686999999835e+01
-5.615231357999999773e+01,-3.491997909999999905e+01
-5.614938335000000080e+01,-3.491756936000000167e+01
-5.614998847999999754e+01,-3.491154353000000299e+01
-5.613733291999999864e+01,-3.489301552999999956e+01
-5.614402396999999922e+01,-3.489400063000000074e+01
-5.614201262000000270e+01,-3.489345142999999894e+01
-5.614308009999999882e+01,-3.489186267000000186e+01
-5.614707648000000262e+01,-3.491007137999999799e+01
-5.613923134000000204e+01,-3.490136302999999884e+01
-5.614108454000000137e+01,-3.489831843000000333e+01
-5.614169972999999914e+01,-3.489829646999999824e+01
-5.614238078000000343e+01,-3.489836249999999751e+01
-5.614017957000000081e+01,-3.490077743999999882e+01
-5.613994021999999973e+01,-3.490143388999999985e+01
-5.615205976000000021e+01,-3.491911168000000032e+01
-5.615412666000000286e+01,-3.491603416000000237e+01
-5.614956061000000176e+01,-3.492047385000000048e+01
-5.615010615999999999e+01,-3.491595421000000243e+01
-5.615426236999999787e+01,-3.489895468999999650e+01
-5.615188157000000047e+01,-3.489918234999999669e+01
-5.615250855000000030e+01,-3.492043215999999717e+01
-5.614813792000000348e+01,-3.491140022999999815e+01
-5.614740736000000254e+01,-3.491273100000000085e+01
-5.614945500999999695e+01,-3.490930537999999927e+01
-5.615234751999999929e+01,-3.491092344999999852e+01
-5.615342737999999656e+01,-3.491365505000000269e+01
-5.616069261999999895e+01,-3.489017004000000099e+01
-5.615400635000000307e+01,-3.490316445999999928e+01
-5.615218185999999889e+01,-3.490059647000000354e+01
-5.616048484000000229e+01,-3.488931301000000218e+01
-5.616341020000000128e+01,-3.489001884999999703e+01
-5.616385934000000191e+01,-3.488848867000000098e+01
-5.616096118000000104e+01,-3.488887550999999831e+01
-5.615280682000000212e+01,-3.490720138999999733e+01
-5.616338229000000126e+01,-3.488654096999999865e+01
-5.615468125999999671e+01,-3.488632429999999829e+01
-5.615067201000000097e+01,-3.488889077000000327e+01
-5.615401753999999812e+01,-3.488889788000000181e+01
-5.615968236999999874e+01,-3.488895619000000181e+01
-5.616076609000000275e+01,-3.488423036999999738e+01
-5.615899579999999958e+01,-3.488279082999999758e+01
-5.615973000999999698e+01,-3.488360162000000031e+01
-5.616495696999999865e+01,-3.488847025999999829e+01
-5.614807351999999696e+01,-3.491394397999999910e+01
-5.614753115999999977e+01,-3.491346226000000286e+01
-5.614892643000000305e+01,-3.490979301000000135e+01
-5.615348511999999914e+01,-3.491262597000000056e+01
-5.615334265999999985e+01,-3.491320275999999723e+01
-5.613902078000000273e+01,-3.489962972000000008e+01
-5.614041273000000132e+01,-3.490749462000000136e+01
-5.615750331999999645e+01,-3.488945621999999958e+01
-5.615776481999999703e+01,-3.488485697000000130e+01
-5.616224682000000001e+01,-3.490380674000000027e+01
-5.615358195000000308e+01,-3.488109582999999958e+01
-5.616496371000000210e+01,-3.488848491000000251e+01
-5.614346344999999872e+01,-3.490840737999999988e+01
-5.614301848000000206e+01,-3.490908499999999748e+01
-5.615116085999999740e+01,-3.491233689999999967e+01
-5.614942277000000104e+01,-3.491207254999999776e+01
-5.614679375000000050e+01,-3.491201080999999817e+01
-5.615026129999999682e+01,-3.491171852000000086e+01
-5.615052570999999659e+01,-3.491056344999999794e+01
-5.614927257000000083e+01,-3.491223799000000128e+01
-5.614792162999999903e+01,-3.491275264000000078e+01
-5.614824008000000077e+01,-3.491053663999999657e+01
-5.615571268000000060e+01,-3.492534444999999721e+01
-5.615600133000000227e+01,-3.492554748999999958e+01
-5.615726005999999870e+01,-3.492557927000000007e+01
-5.615678744000000222e+01,-3.492042183000000222e+01
-5.616112626000000319e+01,-3.492689960999999954e+01
-5.616057011000000188e+01,-3.492038165999999677e+01
-5.614984196000000338e+01,-3.489438524999999913e+01
-5.614467668000000344e+01,-3.489878912999999727e+01
-5.614998107000000260e+01,-3.489725479999999891e+01
-5.614891717999999798e+01,-3.489680046000000146e+01
-5.615172102999999737e+01,-3.489803416000000169e+01
-5.614305737000000107e+01,-3.489952886999999748e+01
-5.615006908000000152e+01,-3.489608309999999847e+01
-5.615076630000000080e+01,-3.489586627999999990e+01
-5.614875822999999855e+01,-3.489604800000000040e+01
-5.615072863000000325e+01,-3.489763166000000183e+01
-5.614374621000000332e+01,-3.490179890999999657e+01
