Loading matrix data... DONE [0.325 s]
log4j:WARN No appenders could be found for logger (com.graphhopper.jsprit.core.algorithm.termination.TimeTermination).
log4j:WARN Please initialize the log4j system properly.
log4j:WARN See http://logging.apache.org/log4j/1.2/faq.html#noconfig for more info.
Eval 121 -196.0distancia: 0.0desborde: 14 tiempo: 0.0
Eval 120 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 119 -256.0distancia: 0.0desborde: 16 tiempo: 0.0
Eval 124 -400.0distancia: 0.0desborde: 20 tiempo: 0.0
Eval 117 9.467244746592617E11distancia: 159668.06640625desborde: 0 tiempo: 1.5082543E7
Eval 115 -400.0distancia: 0.0desborde: 20 tiempo: 0.0
Eval 114 -441.0distancia: 0.0desborde: 21 tiempo: 0.0
Eval 111 9.363547537048857E11distancia: 189376.6416015625desborde: 0 tiempo: 1.6469125E7
Eval 110 9.354033915869216E11distancia: 191872.0263671875desborde: 0 tiempo: 1.6606192E7
Eval 127 -324.0distancia: 0.0desborde: 18 tiempo: 0.0
Eval 108 -361.0distancia: 0.0desborde: 19 tiempo: 0.0
Eval 107 -169.0distancia: 0.0desborde: 13 tiempo: 0.0
Eval 106 9.24556191327399E11distancia: 218316.6845703125desborde: 0 tiempo: 1.5051713E7
Eval 126 -256.0distancia: 0.0desborde: 16 tiempo: 0.0
Eval 131 -400.0distancia: 0.0desborde: 20 tiempo: 0.0
Eval 129 -361.0distancia: 0.0desborde: 19 tiempo: 0.0
Eval 128 -169.0distancia: 0.0desborde: 13 tiempo: 0.0
Eval 125 -196.0distancia: 0.0desborde: 14 tiempo: 0.0
Eval 133 -400.0distancia: 0.0desborde: 20 tiempo: 0.0
Eval 123 -400.0distancia: 0.0desborde: 20 tiempo: 0.0
Eval 135 -256.0distancia: 0.0desborde: 16 tiempo: 0.0
Eval 137 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 136 -529.0distancia: 0.0desborde: 23 tiempo: 0.0
Eval 134 -400.0distancia: 0.0desborde: 20 tiempo: 0.0
Eval 138 -324.0distancia: 0.0desborde: 18 tiempo: 0.0
Eval 132 -256.0distancia: 0.0desborde: 16 tiempo: 0.0
Eval 139 -169.0distancia: 0.0desborde: 13 tiempo: 0.0
Eval 130 -324.0distancia: 0.0desborde: 18 tiempo: 0.0
Eval 140 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 141 -441.0distancia: 0.0desborde: 21 tiempo: 0.0
Eval 142 -529.0distancia: 0.0desborde: 23 tiempo: 0.0
Eval 143 -256.0distancia: 0.0desborde: 16 tiempo: 0.0
Eval 144 9.359396345428901E11distancia: 190469.5029296875desborde: 0 tiempo: 1.6482134E7
Eval 145 9.371493658434998E11distancia: 187267.189453125desborde: 0 tiempo: 1.5376302E7
Eval 146 -144.0distancia: 0.0desborde: 12 tiempo: 0.0
Eval 147 -196.0distancia: 0.0desborde: 14 tiempo: 0.0
Eval 148 9.475340094075769E11distancia: 157112.560546875desborde: 0 tiempo: 1.5023514E7
Eval 149 9.360590460605685E11distancia: 190155.7783203125desborde: 0 tiempo: 1.6481574E7
Eval 150 -361.0distancia: 0.0desborde: 19 tiempo: 0.0
Eval 151 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 152 -169.0distancia: 0.0desborde: 13 tiempo: 0.0
Eval 153 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 154 9.345032169881199E11distancia: 194203.6279296875desborde: 0 tiempo: 1.6767901E7
Eval 155 -484.0distancia: 0.0desborde: 22 tiempo: 0.0
Eval 156 -324.0distancia: 0.0desborde: 18 tiempo: 0.0
Eval 157 -225.0distancia: 0.0desborde: 15 tiempo: 0.0
Eval 158 -225.0distancia: 0.0desborde: 15 tiempo: 0.0
Eval 159 9.212582710093232E11distancia: 225743.2060546875desborde: 0 tiempo: 1.7207429E7
Eval 160 -441.0distancia: 0.0desborde: 21 tiempo: 0.0
Eval 161 9.227553384822817E11distancia: 222402.625desborde: 0 tiempo: 1.7223973E7
Eval 162 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 163 -256.0distancia: 0.0desborde: 16 tiempo: 0.0
Eval 164 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 165 -400.0distancia: 0.0desborde: 20 tiempo: 0.0
Eval 166 9.241436259665713E11distancia: 219259.298828125desborde: 0 tiempo: 1.7054898E7
Eval 167 -529.0distancia: 0.0desborde: 23 tiempo: 0.0
Eval 169 9.158281176254828E11distancia: 237466.099609375desborde: 0 tiempo: 1.7331796E7
Eval 170 9.239552741347817E11distancia: 219688.625desborde: 0 tiempo: 1.4999378E7
Eval 171 -576.0distancia: 0.0desborde: 24 tiempo: 0.0
Eval 172 9.236544098287275E11distancia: 220372.0859375desborde: 0 tiempo: 1.6644418E7
Eval 173 -361.0distancia: 0.0desborde: 19 tiempo: 0.0
Eval 174 9.244464628061509E11distancia: 218567.6171875desborde: 0 tiempo: 1.6990685E7
Eval 175 -169.0distancia: 0.0desborde: 13 tiempo: 0.0
Eval 176 -361.0distancia: 0.0desborde: 19 tiempo: 0.0
Eval 177 -225.0distancia: 0.0desborde: 15 tiempo: 0.0
Eval 178 -225.0distancia: 0.0desborde: 15 tiempo: 0.0
Eval 168 -225.0distancia: 0.0desborde: 15 tiempo: 0.0
Eval 179 9.468158347513455E11distancia: 159381.7158203125desborde: 0 tiempo: 1.5146574E7
Eval 181 -256.0distancia: 0.0desborde: 16 tiempo: 0.0
Eval 180 9.173451473142556E11distancia: 234250.1201171875desborde: 0 tiempo: 1.6544491E7
Eval 182 -400.0distancia: 0.0desborde: 20 tiempo: 0.0
Eval 183 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 184 -324.0distancia: 0.0desborde: 18 tiempo: 0.0
Eval 185 9.346056091560178E11distancia: 193939.828125desborde: 0 tiempo: 1.6717892E7
Eval 186 -484.0distancia: 0.0desborde: 22 tiempo: 0.0
Eval 187 9.24624623950725E11distancia: 218159.900390625desborde: 0 tiempo: 1.5146574E7
Eval 188 9.352956640680273E11distancia: 192152.548828125desborde: 0 tiempo: 1.657684E7
Eval 189 -256.0distancia: 0.0desborde: 16 tiempo: 0.0
Eval 190 -441.0distancia: 0.0desborde: 21 tiempo: 0.0
Eval 191 -196.0distancia: 0.0desborde: 14 tiempo: 0.0
Eval 192 -324.0distancia: 0.0desborde: 18 tiempo: 0.0
Eval 193 -529.0distancia: 0.0desborde: 23 tiempo: 0.0
Eval 194 -324.0distancia: 0.0desborde: 18 tiempo: 0.0
Eval 195 -529.0distancia: 0.0desborde: 23 tiempo: 0.0
Eval 196 -400.0distancia: 0.0desborde: 20 tiempo: 0.0
Eval 197 -256.0distancia: 0.0desborde: 16 tiempo: 0.0
Eval 198 -361.0distancia: 0.0desborde: 19 tiempo: 0.0
Eval 199 9.371493658434998E11distancia: 187267.189453125desborde: 0 tiempo: 1.5376302E7
Eval 200 -400.0distancia: 0.0desborde: 20 tiempo: 0.0
Eval 201 -196.0distancia: 0.0desborde: 14 tiempo: 0.0
Eval 202 9.266491403266528E11distancia: 213469.49609375desborde: 0 tiempo: 1.4926514E7
Eval 203 -225.0distancia: 0.0desborde: 15 tiempo: 0.0
Eval 204 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 205 9.354033915869216E11distancia: 191872.0263671875desborde: 0 tiempo: 1.6606192E7
Eval 206 -400.0distancia: 0.0desborde: 20 tiempo: 0.0
Eval 207 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 208 9.244464628061509E11distancia: 218567.6171875desborde: 0 tiempo: 1.6990685E7
Eval 209 9.363274390626953E11distancia: 189448.7451171875desborde: 0 tiempo: 1.6503288E7
Eval 210 -324.0distancia: 0.0desborde: 18 tiempo: 0.0
Eval 211 9.390884198965602E11distancia: 182016.3349609375desborde: 0 tiempo: 1.4879492E7
Eval 212 -225.0distancia: 0.0desborde: 15 tiempo: 0.0
Eval 213 -400.0distancia: 0.0desborde: 20 tiempo: 0.0
Eval 214 9.179364183164824E11distancia: 232984.6513671875desborde: 0 tiempo: 1.6645625E7
Eval 215 -400.0distancia: 0.0desborde: 20 tiempo: 0.0
Eval 216 9.164878992815483E11distancia: 236072.7998046875desborde: 0 tiempo: 1.6891557E7
Eval 217 -144.0distancia: 0.0desborde: 12 tiempo: 0.0
Eval 218 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 219 9.363547537048857E11distancia: 189376.6416015625desborde: 0 tiempo: 1.6469125E7
Eval 220 -225.0distancia: 0.0desborde: 15 tiempo: 0.0
Eval 221 -484.0distancia: 0.0desborde: 22 tiempo: 0.0
Eval 222 9.360590460605685E11distancia: 190155.7783203125desborde: 0 tiempo: 1.6481574E7
Eval 223 9.174893208245605E11distancia: 233942.18359375desborde: 0 tiempo: 1.652238E7
Eval 224 -361.0distancia: 0.0desborde: 19 tiempo: 0.0
Eval 225 -169.0distancia: 0.0desborde: 13 tiempo: 0.0
Eval 226 9.235293285067919E11distancia: 220655.92578125desborde: 0 tiempo: 1.5365802E7
Eval 227 -361.0distancia: 0.0desborde: 19 tiempo: 0.0
Eval 228 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 229 -256.0distancia: 0.0desborde: 16 tiempo: 0.0
Eval 230 -196.0distancia: 0.0desborde: 14 tiempo: 0.0
Eval 231 -361.0distancia: 0.0desborde: 19 tiempo: 0.0
Eval 232 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 233 -144.0distancia: 0.0desborde: 12 tiempo: 0.0
Eval 234 -225.0distancia: 0.0desborde: 15 tiempo: 0.0
Eval 235 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 236 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 237 -324.0distancia: 0.0desborde: 18 tiempo: 0.0
Eval 238 9.16113048649589E11distancia: 236865.3994140625desborde: 0 tiempo: 1.6751986E7
Eval 239 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 240 9.354893973999331E11distancia: 191647.7724609375desborde: 0 tiempo: 1.6636872E7
Eval 241 -169.0distancia: 0.0desborde: 13 tiempo: 0.0
Eval 242 9.174847748497247E11distancia: 233951.8994140625desborde: 0 tiempo: 1.6811457E7
Eval 243 -361.0distancia: 0.0desborde: 19 tiempo: 0.0
Eval 244 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 245 9.467564624737167E11distancia: 159567.865234375desborde: 0 tiempo: 1.5229841E7
Eval 246 9.365000918047723E11distancia: 188992.5244140625desborde: 0 tiempo: 1.6782833E7
